"ARTNR";"ARTIKEL1";"ARTIKEL2";"EK";"VK";"VKI";"ME";"EINGABE";"MWST";"ARTGRU";"SKOSTEN";"SPEICHER";"STUECK";"PREIS1";"FK5";"VKI1";"LANGTEXT";"FIBUKTO";"FELD1";"FELD2";"FELD3";"LIEFERANT";"ARTIKELART";"ZULIEFERER";"MATCHCODE";"TRAFFIC";"ONLINEART";"ANZAHLPOP";"ANZAHLEMAIL";"ANZAHLFTP";"ANZAHLSUBDOMAINS";"MYSQLDATABASE";"WILDCARDSUB";"FTPJA";"PHPJA";"CGIJA";"SSIJA";"STATIJA";"PWVERZJA";"FEHLERSEITENJA";"WEBFTPJA";"WEBMAILJA";"PHPUPLOAD";"WAP";"SHELLZUGRIFF";"DIRECTLIST";"AUTORESPONDER";"BESTAND";"FREIDOMS";"PROVFAEHIG";"PROVISION"
"0001";".de Registrierung";"";3,1;10;11,9;"";"16.01.2007 15:59:39";19;"300";"";"";31;6,3966;0;7,4201;"";"440001";"G";"J";"";"jährlich";"";"Host Europe GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-1639;;"";
"0002";"CNO Registrierung";"";7,8;11;13,09;"";"09.06.2004 13:11:50";19;"300";"";"";29;9,8966;;11,4801;"";"";"G";"J";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-785;;"";
"0003";".info Registrierung";"";15,6;32,5;38,675;"";"09.06.2004 13:11:58";19;"300";"";"";0;19,8017;;22,97;"";"";"Z";"J";"";"zweijährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-4;;"";
"REG-COUK";".co.uk Registrierung";"";7,85;12;14,28;"";"01.09.2006 11:53:17";19;"300";"";"";8;11;;12,76;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-20;;"";
"0004";".biz Registrierung";"";15,6;32,5;38,675;"";"09.06.2004 13:12:04";19;"300";"";"";0;19,1983;1;22,27;"";"";"Z";"J";"";"zweijährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-3;;"";
"0005";".tv Registrierung";"";;40;47,6;"";"09.06.2004 13:12:09";19;"300";"";"";1;35;;40,6;"";"";"G";"N";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-15;;"";
"0020";"Einrichtung Mini-Hosting";"";0;12,89;15,3391;"";"09.06.2004 13:13:25";19;"310";"";"";0;2;;2,32;"";"";"E";"N";"";"einmalig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
"0030";"Serverhousing Grundtarif";"";30,68;50;59,5;"";"09.06.2004 13:18:15";19;"320";"";"";0;;;;"";"";"J";"N";"";"monatlich";"";"MIP GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
"0006";".at Registrierung";"";17,75;30;35,7;"";"09.06.2004 13:12:13";19;"300";"";"";0;30;;34,8;"";"";"G";"J";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-15;;"";
"0031";"Serverhousing inkl. 5 GB Datenvolumen";"";;127,8;152,082;"";"09.06.2004 13:18:21";19;"320";"";"";0;;;;"";"";"J";"J";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-23;;"";
