"KUNDNR";"LEISTUNG";"PREIS";"PREISMTL";"TEXT";"BERECHNEN";"GELOESCHT";"ABRECH";"ARTNR";"DATUM";"NRECHNUNG";"FREI1";"FREI2";"FREI3";"ANZAHL";"IDWDIENSTE";"KUNDENNR2";"KUNDENNAME";"KUNDENNAME2";"ANSPRECHPARTNER";"PLZ";"ORT";"STRASSE";"ANREDE";"PROJEKTTEXT"
"1006";"Änderungen PHP-Scripting skoda-saarland.de";50;;"- Die Upload-Beschränkung auf DOC- bzw. XLS-Dateien entfällt. Es können nun Dokumente beliebigen Typs hochgeladen werden.- Die Dateinamen sind nicht mehr auf ""haendlerinfo.doc"" bzw. ""lagerliste.xls"" festgesetzt. Beim Upload wird der Original-Dateiname uebernommen.";"";"";"E";"";"03.12.2002";"";"03.01.2003";"";"";1;"1014";"";"";"";"";"";"";"";"";""
"1001";"Nettracker Statistik";5;;"";"";"";"J";"TRACK";"01.02.2007";"01.04.2007";"";"";"";1;"1084473210";"";"";"";"";"";"";"";"";""
"1001";"Abschlagszahlung Stadtwerke";64,66;;"Anteil an Abschlag Stadtwerke";"";"";"E";"";"16.02.2007";"";"09.03.2007";"";"";1;"1085481510";"";"";"";"";"";"";"";"";""
"1039";"vBulletin Forum Lizenzvariante A";190;;"Forumslizenz auf unbestimmte Zeit. 1 Jahr Updateberechtigung";"";"";"E";"";"11.12.2002";"";"11.12.2002";"";"";1;"45214";"";"";"";"";"";"";"";"";""
"1039";"Innovative Projekte";180;;"- Entfernen des Menüpunktes ""Geplante Projekte""- Hinzufügen des Menüpunktes ""Innovative Projekte"" Integration ins Updatesystemgem. Angebot vom 08.12.2002";"";"";"E";"";"11.12.2002";"";"11.12.2002";"";"";1;"7115";"";"";"";"";"";"";"";"";""
"1039";"Installation der Forumsoftware vBulletin";60;;"Installation der Forumsoftware vBulletin auf www.gbf-saar.de";"";"";"E";"";"11.12.2002";"";"11.12.2002";"";"";1;"55414";"";"";"";"";"";"";"";"";""
"1039";"Integration des Forums in Hauptnavigation";60;;"";"";"";"E";"";"11.12.2002";"";"11.12.2002";"";"";1;"65514";"";"";"";"";"";"";"";"";""
"1011";"Update www.wtbb-steuerberatung.de Dezember 2002";30,68;;"";"";"";"E";"";"09.12.2002";"";"03.01.2003";"";"";1;"10420";"";"";"";"";"";"";"";"";""
"1039";"Programmierung Newslettertool";1200;;"Programmierung und Erstellung einer NewsletterverwaltungFunktionalitäten für Besucher und Administratoren gemäßBeschreibung im Angebot vom 08.12.2002";"";"";"E";"";"11.12.2002";"";"11.12.2002";"";"";1;"81015";"";"";"";"";"";"";"";"";""
"1039";"Erweiterung Newsletter Multi-Abos";840;;"Erweiterung der Newsletterfunktionalität für Multi-AbosFunktionalitäten für Besucher und Administratoren gemäßBeschreibung im Angebot vom 08.12.2002";"";"";"E";"";"11.12.2002";"";"11.12.2002";"";"";1;"91315";"";"";"";"";"";"";"";"";""
"1103";"Verkaufsprovisionen";201,4;;"";"";"";"E";"";"06.12.2002";"";"12.12.2002";"";"";1;"11719";"";"";"";"";"";"";"";"";""
"1008";"Webdesign Seitenupdate";30;;"Update www.sggt.de gem. Ihrem Auftrag1 Stunde Arbeitsaufwand";"";"";"E";"";"06.12.2002";"";"03.01.2003";"";"";1;"122819";"";"";"";"";"";"";"";"";""
"1388";"Allgemeine Dienstleistung";5;;"Installation INET-CASH Payment Skriptauf nichtraucher-tipps.de";"";"";"E";"SER";"30.08.2006";"";"31.08.2006";"";"";1;"1086401412";"";"";"";"";"";"";"";"";""
"1065";".ch Nameservice und Abwicklung";6;;"Domain duallook.ch";"";"";"G";"DNS-CH";"01.08.2003";"01.08.2007";"";"";"";1;"134111";"";"";"";"";"";"";"";"";""
"1014";"E-Mailtraffic über Pauschale";14,9;;"Gesamter E-Mailtraffic im Juli 2004 = 5,1 GB";"";"";"E";"TRAF-M";"31.07.2004";"";"02.08.2004";"";"";5;"3974011";"";"";"";"";"";"";"";"";""
"1015";"Weiterbelastung Rücklastschrift";7,5;;"";"";"";"E";"LAS";"05.10.2004";"";"05.10.2004";"";"";1;"462485010";"";"";"";"";"";"";"";"";""
"1288";"Swinger 2000";42,2414;;"";"";"";"E";"PG-2021";"27.11.2004";"";"01.12.2004";"";"";1;"532232615";"";"";"";"";"";"";"";"";""
"1316";"Terminveröffentlichung swingerclubs.de";6,03;;"Terminveröffentlichung März 2005";"";"";"E";"SC-T";"23.02.2005";"";"23.02.2005";"";"";1;"665294311";"";"";"";"";"";"";"";"";""
"1117";"Arbeitsstunde Technik";30;;"Nachprüfung Installation ks01.saarfari.deAnpassung und Korrektur Postfixkonfiguration";"";"";"E";"STD-T";"26.07.2005";"";"26.07.2005";"";"";2,5;"823285716";"";"";"";"";"";"";"";"";""
"1103";"Partnerprovision";77,69;;"";"";"";"E";"PP-E";"07.11.2005";"";"07.11.2005";"";"";1;"87733813";"";"";"";"";"";"";"";"";""
